Cell Type,Value,Measurement
Hippocampus CA1 IS-I neuron,42.8,rheobase
Hippocampus CA1 basket cell,70.0,rheobase
Hippocampus CA1 IS-I neuron,38.5,cell capacitance
Hippocampus CA1 basket cell,49.7,cell capacitance
Hippocampus CA1 IS-I neuron,-74.2,resting membrane potential
Hippocampus CA1 basket cell,-63.55,resting membrane potential
Hippocampus CA1 IS-I neuron,496.9,input resistance
Hippocampus CA1 basket cell,251.4,input resistance
BNST common spiny neuron,3.5,spike decay time
BNST common spiny neuron,4.5,spike decay time
BNST common spiny neuron,5.4,spike decay time
BNST common spiny neuron,5.1,spike decay time
BNST common spiny neuron,-36.6,spike threshold
BNST common spiny neuron,-32.5,spike threshold
Other,0.8,spike rise time
BNST common spiny neuron,-30.3,spike threshold
BNST common spiny neuron,-45.6,spike threshold
Other,3.5,spike decay time
BNST common spiny neuron,2.5,spike rise time
Other,679.3,first spike latency
BNST common spiny neuron,2.0,spike rise time
Other,-36.9,spike threshold
BNST common spiny neuron,55.0,spike amplitude
BNST common spiny neuron,72.3,spike amplitude
BNST common spiny neuron,71.4,spike amplitude
BNST common spiny neuron,82.1,spike amplitude
Other,104.3,spike amplitude
BNST common spiny neuron,0.84,spike rise time
BNST common spiny neuron,0.71,spike rise time
Other,-72.5,resting membrane potential
BNST common spiny neuron,-61.0,resting membrane potential
BNST common spiny neuron,-64.8,resting membrane potential
BNST common spiny neuron,84.0,first spike latency
BNST common spiny neuron,857.9,first spike latency
BNST common spiny neuron,2.1,spike half-width
BNST common spiny neuron,2.0,spike half-width
BNST common spiny neuron,2.1,spike half-width
BNST common spiny neuron,2.8,spike half-width
BNST common spiny neuron,83.53,first spike latency
BNST common spiny neuron,183.9,first spike latency
Other,2.8,spike half-width
BNST common spiny neuron,-49.7,resting membrane potential
BNST common spiny neuron,-58.5,resting membrane potential
Other,15.4,AHP amplitude
Other,9.05,AHP amplitude
Other,2.54,spike width
Other,2.2,spike width
Other,1.26,spike half-width
Other,0.88,spike half-width
Other,1.6,spike width
Other,1.9,spike width
Other,0.64,spike half-width
Other,0.82,spike half-width
Other,8.6,AHP amplitude
Other,9.9,AHP amplitude
Other,9.44,AHP amplitude
Other,0.88,spike decay time
Other,1.35,spike decay time
Other,0.92,spike decay time
Other,0.5,spike rise time
Other,65.8,spike amplitude
Other,69.9,spike amplitude
Other,0.67,spike half-width
Other,0.64,spike rise time
Other,0.73,spike rise time
Other,0.57,spike rise time
Other,0.51,spike rise time
Other,72.1,spike amplitude
Other,1.59,spike decay time
Other,1.64,spike decay time
Other,75.1,spike amplitude
Other,63.1,spike amplitude
Other,127.4,input resistance
Other,178.8,input resistance
Other,102.9,input resistance
Other,117.2,AHP duration
Other,154.6,AHP duration
Other,162.7,AHP duration
Other,279.0,AHP duration
Other,21.3,AHP duration
Other,100.4,input resistance
Other,154.3,input resistance
Other,1.42,spike width
Other,-62.8,resting membrane potential
Other,-66.2,resting membrane potential
Other,-56.6,resting membrane potential
Other,-55.3,resting membrane potential
Other,-55.3,resting membrane potential
Other,42.2,firing frequency
Other,42.1,firing frequency
Other,23.2,firing frequency
Other,8.8,firing frequency
Other,19.7,firing frequency
Other,176.6,maximum firing rate
Other,126.0,maximum firing rate
Other,111.3,maximum firing rate
Other,88.2,maximum firing rate
Other,26.1,maximum firing rate
Other,64.2,adaptation percent (1 – first/last ISI)
Other,68.9,adaptation percent (1 – first/last ISI)
Other,54.8,adaptation percent (1 – first/last ISI)
Other,52.3,adaptation percent (1 – first/last ISI)
Other,66.1,adaptation percent (1 – first/last ISI)
Hippocampus CA1 IS-I neuron,9.2,AHP amplitude
Hippocampus CA1 IS-I neuron,1.1,AHP duration
Hippocampus CA1 IS-I neuron,87.4,spike amplitude
Hippocampus CA1 IS-I neuron,28.1,membrane time constant
Hippocampus CA1 IS-I neuron,-62.5,resting membrane potential
Hippocampus CA1 IS-I neuron,36.2,cell capacitance
Hippocampus CA1 IS-I neuron,452.0,input resistance
Hippocampus CA3 stratum radiatum giant cell,-44.43,spike threshold
Hippocampus CA3 lacunosum moleculare neuron,-44.67,spike threshold
Hippocampus CA3 stratum radiatum giant cell,11.71,AHP amplitude
Hippocampus CA3 lacunosum moleculare neuron,12.5,AHP amplitude
Hippocampus CA3 lacunosum moleculare neuron,0.77,spike width
Hippocampus CA3 stratum radiatum giant cell,0.91,spike width
Hippocampus CA3 lacunosum moleculare neuron,73.83,spike amplitude
Hippocampus CA3 stratum radiatum giant cell,74.0,spike amplitude
Hippocampus CA3 lacunosum moleculare neuron,218.0,input resistance
Hippocampus CA3 stratum radiatum giant cell,170.14,input resistance
Hippocampus CA3 lacunosum moleculare neuron,3.05,adaptation ratio (other)
Hippocampus CA3 stratum radiatum giant cell,3.24,adaptation ratio (other)
Hippocampus CA3 lacunosum moleculare neuron,-72.17,resting membrane potential
Hippocampus CA3 stratum radiatum giant cell,-71.43,resting membrane potential
Neocortex pyramidal cell layer 5-6,266.0,rheobase
Neocortex pyramidal cell layer 5-6,13.7,ADP amplitude
Neocortex pyramidal cell layer 5-6,-59.7,spike threshold
Neocortex pyramidal cell layer 5-6,4.7,AHP amplitude from resting
Neocortex pyramidal cell layer 5-6,0.51,spike half-width
Neocortex pyramidal cell layer 5-6,616.0,spike max rise slope
Neocortex pyramidal cell layer 5-6,90.3,spike amplitude
Neocortex pyramidal cell layer 5-6,-76.3,resting membrane potential
Neocortex pyramidal cell layer 5-6,22.8,input resistance
Other,2.58,spike half-width
Other,74.61,spike amplitude
Other,-47.37,spike threshold
Ventral tegmental area dopamine neuron,4.27,spike half-width
Ventral tegmental area dopamine neuron,67.13,spike amplitude
Ventral tegmental area dopamine neuron,-40.41,spike threshold
Other,17.2,firing frequency
Other,1.32,spike half-width
Other,13.0,fast AHP amplitude
Other,-42.0,spike threshold
Substantia nigra pars compacta dopaminergic cell,20.0,fast AHP amplitude
Substantia nigra pars compacta dopaminergic cell,-34.0,spike threshold
Substantia nigra pars compacta dopaminergic cell,2.4,firing frequency
Substantia nigra pars compacta dopaminergic cell,2.62,spike half-width
Other,54.93,spike amplitude
Other,62.96,spike amplitude
Other,-40.44,spike threshold
Other,8.17,spike half-width
Other,71.38,spike amplitude
Other,72.7,spike amplitude
Other,2.71,spike half-width
Other,1.81,spike half-width
Other,1.62,spike half-width
Other,-39.18,spike threshold
Other,-36.5,spike threshold
Other,-34.43,spike threshold
Other,-65.97,resting membrane potential
Other,-64.02,resting membrane potential
Other,-55.97,resting membrane potential
Other,-49.92,resting membrane potential
Other,44.05,membrane time constant
Other,63.75,membrane time constant
Other,91.56,membrane time constant
Other,0.94,input resistance
Other,1.36,input resistance
Other,92.83,membrane time constant
Other,0.39,input resistance
Other,0.56,input resistance
Inferior olive neuron,236.6,cell capacitance
Inferior olive neuron,202.5,cell capacitance
Inferior olive neuron,23.5,input resistance
Inferior olive neuron,31.3,input resistance
Inferior olive neuron,-54.0,resting membrane potential
Inferior olive neuron,-53.5,resting membrane potential
Other,166.0,input resistance
Other,44.5,firing frequency
Other,0.43,spike half-width
Other,67.3,resting membrane potential
Other,0.09,adaptation ratio
Other,0.5,spike half-width
Other,0.93,adaptation ratio
Other,0.28,spike half-width
Other,93.0,firing frequency
Other,87.0,input resistance
Other,-72.0,resting membrane potential
Other,0.5,adaptation ratio
Other,1.12,adaptation ratio
Other,0.48,spike half-width
Other,23.0,firing frequency
Other,107.0,input resistance
Other,-73.4,resting membrane potential
Other,285.9,firing frequency
Other,201.0,input resistance
Other,-69.2,resting membrane potential
Other,101.4,input resistance
BNST common spiny neuron,596.3,input resistance
BNST common spiny neuron,204.9,input resistance
BNST common spiny neuron,450.6,input resistance
BNST common spiny neuron,614.0,input resistance
Other,-20.74,AHP amplitude
Ventral tegmental area dopamine neuron,-28.82,AHP amplitude
Other,9.0,sag ratio
Substantia nigra pars compacta dopaminergic cell,39.0,sag ratio
Neocortex pyramidal cell layer 5-6,14.6,membrane time constant
Neocortex pyramidal cell layer 5-6,17.0,membrane time constant
Neocortex pyramidal cell layer 5-6,63.9,resting membrane potential
Neocortex pyramidal cell layer 5-6,60.6,resting membrane potential
Neocortex pyramidal cell layer 5-6,216.0,input resistance
Neocortex pyramidal cell layer 5-6,125.0,input resistance
Neocortex pyramidal cell layer 5-6,176.0,input resistance
Neocortex pyramidal cell layer 5-6,28.4,membrane time constant
Neocortex pyramidal cell layer 2-3,70.3,spike amplitude
Neocortex pyramidal cell layer 2-3,1.38,spike half-width
Neocortex pyramidal cell layer 2-3,130.0,rheobase
Neocortex pyramidal cell layer 2-3,79.4,rheobase
Neocortex pyramidal cell layer 2-3,-39.8,spike threshold
Neocortex pyramidal cell layer 2-3,18.1,membrane time constant
Neocortex pyramidal cell layer 2-3,204.9,input resistance
Neocortex pyramidal cell layer 2-3,102.4,input resistance
Neocortex pyramidal cell layer 2-3,19.1,membrane time constant
Neocortex pyramidal cell layer 2-3,-66.3,resting membrane potential
Neocortex pyramidal cell layer 2-3,2.35,spike decay time
Neocortex pyramidal cell layer 2-3,-41.9,spike threshold
Neocortex pyramidal cell layer 2-3,1.53,spike half-width
Neocortex pyramidal cell layer 2-3,0.82,spike rise time
Neocortex pyramidal cell layer 2-3,2.04,spike decay time
Neocortex pyramidal cell layer 2-3,0.88,spike rise time
Neocortex pyramidal cell layer 2-3,-69.2,resting membrane potential
Neocortex pyramidal cell layer 2-3,82.5,spike amplitude
Other,28.0,first spike latency
Other,16.0,first spike latency
Other,47.0,first spike latency
Other,13.0,first spike latency
Other,1.9,spike half-width
Other,25.0,first spike latency
Other,35.0,first spike latency
Other,258.0,first spike latency
Other,5.6,sag ratio
Other,2.2,sag ratio
Other,13.0,firing frequency
Other,4.0,firing frequency
Other,16.0,firing frequency
Other,1.0,sag ratio
Other,1.9,sag ratio
Other,2.3,spike half-width
Other,2.4,spike half-width
Other,2.5,spike half-width
Other,1.4,spike half-width
Other,2.1,spike half-width
Other,2.8,spike half-width
Other,17.0,firing frequency
Other,-65.0,resting membrane potential
Other,27.0,maximum firing rate
Other,2.5,sag ratio
Other,141.0,input resistance
Other,-38.0,spike threshold
Other,-40.0,spike threshold
Other,-34.0,spike threshold
Other,-39.0,spike threshold
Other,-39.0,spike threshold
Other,-41.0,spike threshold
Other,-40.0,spike threshold
Other,39.0,maximum firing rate
Other,37.0,maximum firing rate
Other,70.0,maximum firing rate
Other,13.0,maximum firing rate
Other,35.0,maximum firing rate
Other,247.0,input resistance
Other,349.0,input resistance
Other,340.0,input resistance
Other,274.0,input resistance
Other,264.0,input resistance
Other,328.0,input resistance
Other,23.0,spontaneous firing rate
Other,1.8,sag ratio
Other,24.0,spontaneous firing rate
Other,9.0,spontaneous firing rate
Other,30.0,spontaneous firing rate
Other,21.0,spontaneous firing rate
Other,15.0,firing frequency
Other,23.0,spontaneous firing rate
Other,1.7,sag ratio
Other,-69.0,resting membrane potential
Other,-65.0,resting membrane potential
Other,-62.0,resting membrane potential
Other,-65.0,resting membrane potential
Other,-63.0,resting membrane potential
Other,-69.0,resting membrane potential
Subiculum pyramidal cell,25.0,spontaneous firing rate
Subiculum pyramidal cell,2.3,spike half-width
Other,2.2,sag ratio
Subiculum pyramidal cell,25.0,first spike latency
Subiculum pyramidal cell,40.0,maximum firing rate
Subiculum pyramidal cell,328.0,input resistance
Subiculum pyramidal cell,2.1,sag ratio
Other,25.0,first spike latency
Subiculum pyramidal cell,-65.0,resting membrane potential
Subiculum pyramidal cell,15.0,firing frequency
Other,25.0,spontaneous firing rate
Other,16.0,firing frequency
Other,339.0,input resistance
Other,-67.0,resting membrane potential
Other,44.0,maximum firing rate
Other,1.8,spike half-width
Dentate gyrus mossy cell,-60.6,resting membrane potential
Dentate gyrus mossy cell,0.15,spontaneous firing rate
Dentate gyrus mossy cell,5.17,spontaneous firing rate
Dentate gyrus mossy cell,-60.2,resting membrane potential
Dentate gyrus mossy cell,-61.5,resting membrane potential
Dentate gyrus mossy cell,-43.1,spike threshold
Dentate gyrus mossy cell,-42.0,spike threshold
Dentate gyrus mossy cell,-42.2,spike threshold
Dentate gyrus mossy cell,0.92,sag ratio
Dentate gyrus mossy cell,0.91,sag ratio
Dentate gyrus mossy cell,48.0,spike amplitude
Dentate gyrus mossy cell,40.7,membrane time constant
Dentate gyrus mossy cell,39.0,membrane time constant
Dentate gyrus mossy cell,41.8,membrane time constant
Dentate gyrus mossy cell,182.8,input resistance
Dentate gyrus mossy cell,1.59,spike half-width
Dentate gyrus mossy cell,1.79,spike half-width
Dentate gyrus mossy cell,1.64,spike half-width
Dentate gyrus mossy cell,54.4,spike amplitude
Dentate gyrus mossy cell,50.2,spike amplitude
Dentate gyrus mossy cell,0.92,sag ratio
Dentate gyrus mossy cell,220.4,input resistance
Dentate gyrus mossy cell,232.3,input resistance
Neocortex interneuron deep,235.0,input resistance
Neocortex interneuron deep,585.0,input resistance
Neocortex interneuron deep,0.35,spike half-width
Neocortex interneuron deep,0.65,spike half-width
Neocortex interneuron deep,-42.0,spike threshold
Neocortex interneuron deep,0.8,adaptation ratio
Neocortex interneuron deep,582.0,input resistance
Neocortex interneuron deep,18.9,membrane time constant
Neocortex interneuron deep,8.5,membrane time constant
Neocortex interneuron deep,15.8,membrane time constant
Neocortex interneuron deep,0.68,spike half-width
Neocortex interneuron deep,15.0,AHP amplitude
Neocortex interneuron deep,21.0,AHP amplitude
Neocortex interneuron deep,-41.0,spike threshold
Neocortex interneuron deep,0.61,adaptation ratio
Neocortex interneuron deep,67.0,spike amplitude
Neocortex interneuron deep,50.0,spike amplitude
Neocortex interneuron deep,62.0,spike amplitude
Neocortex interneuron deep,0.64,adaptation ratio
Neocortex interneuron deep,19.0,AHP amplitude
Neocortex interneuron deep,-46.0,spike threshold
Neocortex pyramidal cell layer 2-3,135.0,input resistance
Neocortex pyramidal cell layer 2-3,136.0,input resistance
Neocortex interneuron deep,0.94,adaptation ratio
Neocortex pyramidal cell layer 2-3,19.0,membrane time constant
Neocortex interneuron deep,161.0,input resistance
Neocortex interneuron deep,245.0,input resistance
Neocortex pyramidal cell layer 2-3,18.0,membrane time constant
Neocortex interneuron deep,7.0,membrane time constant
Neocortex interneuron deep,9.0,membrane time constant
Neocortex interneuron deep,0.95,adaptation ratio
Neocortex pyramidal cell layer 2-3,0.51,adaptation ratio
Neocortex pyramidal cell layer 2-3,0.42,adaptation ratio
Neocortex interneuron deep,25.0,AHP amplitude
Neocortex interneuron deep,26.0,AHP amplitude
Neocortex pyramidal cell layer 2-3,17.0,AHP amplitude
Neocortex pyramidal cell layer 2-3,16.0,AHP amplitude
Neocortex interneuron deep,0.34,spike half-width
Neocortex interneuron deep,0.44,spike half-width
Neocortex pyramidal cell layer 2-3,0.82,spike half-width
Neocortex pyramidal cell layer 2-3,86.0,spike amplitude
Neocortex pyramidal cell layer 2-3,88.0,spike amplitude
Neocortex pyramidal cell layer 2-3,0.95,spike half-width
Neocortex interneuron deep,56.0,spike amplitude
Neocortex interneuron deep,58.0,spike amplitude
BNST (ALG),-63.9,resting membrane potential
BNST (ALG),254.0,input resistance
BNST (ALG),0.45,spike rise time
BNST (ALG),1.1,spike decay time
BNST (ALG),71.2,spike amplitude
BNST (ALG),1.12,spike half-width
BNST (ALG),-33.2,spike threshold
BNST (ALG),-3.4,fast AHP amplitude
BNST (ALG),-7.2,fast AHP amplitude
BNST (ALG),-36.6,spike threshold
BNST (ALG),1.0,spike decay time
BNST (ALG),-58.3,resting membrane potential
BNST (ALG),0.38,spike rise time
BNST (ALG),0.95,spike half-width
BNST (ALG),73.4,spike amplitude
BNST (ALG),400.0,input resistance
Ventral tegmental area dopamine neuron,3.2,spike half-width
Ventral tegmental area dopamine neuron,-56.2,AHP amplitude
Ventral tegmental area dopamine neuron,-44.5,spike threshold
Ventral tegmental area dopamine neuron,33.1,spike peak
Other,2.57,spike width
Other,2.53,spike width
Other,2.37,spike width
Other,2.66,spike width
Other,281.0,input resistance
Other,346.31,input resistance
Other,334.44,input resistance
Other,249.72,input resistance
Other,2.43,spike width
Other,66.94,spike amplitude
Other,64.58,spike amplitude
Other,-37.01,spike threshold
Other,-37.31,spike threshold
Other,323.47,input resistance
Other,-39.6,spike threshold
Other,-32.61,spike threshold
Other,2.36,AHP duration
Other,1.98,AHP duration
Other,60.85,spike amplitude
Other,2.19,AHP duration
Other,2.77,AHP duration
Other,2.99,AHP duration
Other,14.69,fast AHP amplitude
Other,13.15,fast AHP amplitude
Other,12.19,fast AHP amplitude
Other,60.47,spike amplitude
Other,63.88,spike amplitude
Other,1.41,spike decay time
Other,1.65,spike decay time
Other,1.57,spike decay time
Other,1.54,spike decay time
Other,1.44,spike decay time
Other,1.01,spike rise time
Other,0.99,spike rise time
Other,0.97,spike rise time
Other,42.75,spike max decay slope
Other,43.78,spike max decay slope
Other,45.45,spike max decay slope
Other,40.02,spike max decay slope
Other,0.98,spike rise time
Other,1.2,spike half-width
Other,0.99,spike rise time
Other,14.46,fast AHP amplitude
Other,50.64,spike max decay slope
Other,-35.66,spike threshold
Other,16.37,membrane time constant
Other,16.12,fast AHP amplitude
Other,17.37,membrane time constant
Other,1.25,spike half-width
Other,1.29,spike half-width
Other,1.31,spike half-width
Other,1.32,spike half-width
Other,23.67,membrane time constant
Other,18.84,membrane time constant
Other,17.77,membrane time constant
Other,65.93,spike max rise slope
Other,63.02,spike max rise slope
Other,70.75,spike max rise slope
Other,61.43,spike max rise slope
Other,65.75,spike max rise slope
Other,38.62,rheobase
Other,37.52,rheobase
Other,42.77,rheobase
Other,41.82,rheobase
Other,35.44,rheobase
Hippocampus CA1 pyramidal cell,5489.0,spike width
Hippocampus CA1 pyramidal cell,374.1,AHP amplitude
Hippocampus CA1 pyramidal cell,-70.19,resting membrane potential
Hippocampus CA1 pyramidal cell,-11344.0,cell surface area
Hippocampus CA1 pyramidal cell,154.9,AHP amplitude
Hippocampus CA1 pyramidal cell,-7.21,spike amplitude
Hippocampus CA1 pyramidal cell,468.9,cell surface area
Hippocampus CA1 basket cell,29.0,AHP duration
Hippocampus CA1 basket cell,-112.0,spike max decay slope
Hippocampus CA1 basket cell,25.0,AHP amplitude
Hippocampus CA1 basket cell,116.0,input resistance
Hippocampus CA1 basket cell,13.0,membrane time constant
Hippocampus CA1 basket cell,47.0,spike amplitude
Hippocampus CA1 basket cell,0.84,sag ratio
Hippocampus CA1 basket cell,-57.0,resting membrane potential
Hippocampus CA1 basket cell,-32.0,spike threshold
Hippocampus CA1 basket cell,0.54,spike half-width
BNST common spiny neuron,-43.7,spike threshold
BNST common spiny neuron,-56.8,resting membrane potential
BNST common spiny neuron,193.3,first spike latency
BNST common spiny neuron,2.1,spike half-width
BNST common spiny neuron,4.6,spike decay time
BNST common spiny neuron,3.3,spike decay time
BNST common spiny neuron,1.9,spike half-width
BNST common spiny neuron,448.7,first spike latency
BNST common spiny neuron,-38.7,spike threshold
BNST common spiny neuron,3.3,spike decay time
BNST common spiny neuron,1.2,spike rise time
BNST common spiny neuron,0.95,spike rise time
BNST common spiny neuron,-69.6,resting membrane potential
BNST common spiny neuron,76.7,spike amplitude
BNST common spiny neuron,69.31,spike amplitude
BNST common spiny neuron,77.7,spike amplitude
BNST common spiny neuron,2.3,spike half-width
BNST common spiny neuron,-36.71,spike threshold
BNST common spiny neuron,122.4,first spike latency
BNST common spiny neuron,1.1,spike rise time
BNST common spiny neuron,-53.5,resting membrane potential
Neocortex basket cell,2.2,AHP duration
Neocortex basket cell,1.4,AHP duration
Neocortex basket cell,-23.8,AHP amplitude
Neocortex basket cell,0.54,spike half-width
Neocortex basket cell,-24.7,AHP amplitude
Neocortex basket cell,-86.0,resting membrane potential
Neocortex basket cell,-87.0,resting membrane potential
Neocortex basket cell,0.25,spike rise time
Neocortex basket cell,0.44,spike half-width
Neocortex basket cell,-49.6,spike threshold
Neocortex basket cell,-46.3,spike threshold
Neocortex basket cell,1.03,adaptation ratio (last/first ISI)
Neocortex basket cell,1.3,adaptation ratio (last/first ISI)
Neocortex basket cell,395.0,first spike latency
Neocortex basket cell,228.0,rheobase
Neocortex basket cell,384.0,rheobase
Neocortex basket cell,462.0,first spike latency
Neocortex basket cell,1.2,FI slope
Neocortex basket cell,0.27,spike rise time
Neocortex basket cell,2.2,FI slope
Other,79.5,spike amplitude
Other,76.0,spike amplitude
Other,25.9,cell capacitance
Other,41.6,cell capacitance
Other,1.2,spontaneous firing rate
Other,-67.4,AHP amplitude
Other,2.5,adaptation ratio (last/first ISI)
Other,1.9,adaptation ratio (last/first ISI)
Other,-64.5,AHP amplitude
Other,2.2,spontaneous firing rate
Other,25.7,firing frequency
Other,25.4,firing frequency
Other,-39.9,spike threshold
Other,-32.2,spike threshold
Other,35.3,membrane time constant
Other,30.4,membrane time constant
Other,1.2,spike half-width
Other,1.2,spike half-width
Other,1.1,input resistance
Other,1.2,input resistance
Other,-57.0,resting membrane potential
Other,-55.7,resting membrane potential
Hippocampus CA3 pyramidal cell,77.6,spike amplitude
Hippocampus CA3 pyramidal cell,13.6,firing frequency
Hippocampus CA1 pyramidal cell,2.6,spike half-width
Hippocampus CA1 pyramidal cell,22.7,firing frequency
Hippocampus CA3 pyramidal cell,2.0,spike half-width
Hippocampus CA2 pyramidal neuron,2.7,spike half-width
Hippocampus CA1 pyramidal cell,81.1,spike amplitude
Hippocampus CA2 pyramidal neuron,83.5,spike amplitude
Hippocampus CA2 pyramidal neuron,0.27,adaptation ratio
Hippocampus CA3 pyramidal cell,0.5,adaptation ratio
Hippocampus CA2 pyramidal neuron,98.6,cell capacitance
Hippocampus CA3 pyramidal cell,139.3,cell capacitance
Hippocampus CA1 pyramidal cell,0.36,adaptation ratio
Hippocampus CA1 pyramidal cell,24.0,access resistance
Hippocampus CA1 pyramidal cell,83.9,cell capacitance
Hippocampus CA2 pyramidal neuron,-62.1,resting membrane potential
Hippocampus CA3 pyramidal cell,-59.7,resting membrane potential
Hippocampus CA2 pyramidal neuron,23.9,firing frequency
Hippocampus CA2 pyramidal neuron,23.7,access resistance
Hippocampus CA3 pyramidal cell,19.9,access resistance
Hippocampus CA1 pyramidal cell,-59.4,resting membrane potential
Other,-39.0,spike threshold
Other,282.0,AHP duration
Other,256.0,AHP duration
Other,-41.0,spike threshold
Other,75.0,spike amplitude
Other,-41.0,spike threshold
Other,-42.0,spike threshold
Other,68.0,spike amplitude
Other,65.0,spike amplitude
Other,211.0,AHP duration
Other,293.0,AHP duration
Other,73.0,maximum firing rate
Other,77.0,spike amplitude
Other,57.0,maximum firing rate
Other,43.0,maximum firing rate
Other,47.0,maximum firing rate
Other,96.0,input resistance
Other,108.0,input resistance
Other,59.0,input resistance
Other,81.0,input resistance
Other,83.0,cell capacitance
Other,70.0,cell capacitance
Other,57.0,cell capacitance
Other,68.0,cell capacitance
Other,-51.0,resting membrane potential
Other,-53.0,resting membrane potential
Other,-50.0,resting membrane potential
Other,-49.0,resting membrane potential
Hippocampus CA1 basket cell,46.0,membrane time constant
Hippocampus CA1 basket cell,25.0,membrane time constant
Hippocampus CA1 basket cell,0.79,sag ratio
Hippocampus CA1 basket cell,72.0,AHP duration
Hippocampus CA1 basket cell,20.0,AHP amplitude
Hippocampus CA1 basket cell,21.0,AHP amplitude
Hippocampus CA1 basket cell,-70.0,resting membrane potential
Hippocampus CA1 basket cell,-64.0,resting membrane potential
Hippocampus CA1 basket cell,1.06,spike half-width
Hippocampus CA1 basket cell,0.74,spike half-width
Hippocampus CA1 basket cell,216.0,input resistance
Hippocampus CA1 basket cell,302.0,input resistance
Hippocampus CA1 basket cell,62.0,spike amplitude
Hippocampus CA1 basket cell,55.0,AHP duration
Hippocampus CA1 basket cell,-55.0,spike max decay slope
Hippocampus CA1 basket cell,-96.0,spike max decay slope
Hippocampus CA1 basket cell,0.88,sag ratio
Hippocampus CA1 basket cell,52.0,spike amplitude
Hippocampus CA1 basket cell,-34.0,spike threshold
Hippocampus CA1 basket cell,-38.0,spike threshold
Other,431.0,input resistance
Other,44.0,membrane time constant
Hippocampus CA1 basket cell,22.0,membrane time constant
Hippocampus CA1 basket cell,-83.0,spike max decay slope
Hippocampus CA1 basket cell,63.0,AHP duration
Other,124.0,AHP duration
Other,19.0,AHP amplitude
Hippocampus CA1 basket cell,14.0,AHP amplitude
Hippocampus CA1 basket cell,-38.0,spike threshold
Hippocampus CA1 basket cell,0.72,spike half-width
Hippocampus CA1 basket cell,-54.0,resting membrane potential
Other,0.81,spike half-width
Hippocampus CA1 basket cell,219.0,input resistance
Hippocampus CA1 basket cell,59.0,spike amplitude
Other,-79.0,spike max decay slope
Other,-57.0,resting membrane potential
Other,0.8,sag ratio
Hippocampus CA1 basket cell,0.71,sag ratio
Other,62.0,spike amplitude
Other,-35.0,spike threshold
Other,21.61,spike peak
Other,0.78,spike width
Other,0.26,membrane time constant
Other,19.4,cell capacitance
Other,9.47,rheobase
Other,0.92,input resistance
Other,-46.39,resting membrane potential
Other,8.81,rheobase
Other,0.82,spike width
Other,26.91,spike peak
Other,22.58,cell capacitance
Other,0.36,membrane time constant
Other,1.25,input resistance
Other,-47.95,resting membrane potential
Other,8.33,rheobase
Other,1.49,input resistance
Other,-44.57,resting membrane potential
Other,0.91,spike width
Other,24.68,spike peak
Other,16.75,cell capacitance
Other,0.28,membrane time constant
Other,-103.0,spike max decay slope
Other,-85.0,spike max decay slope
Other,-33.5,spike threshold
Other,-33.5,spike threshold
Other,51.4,spike amplitude
Other,64.6,spike amplitude
Other,-36.7,spike threshold
Other,-33.9,spike threshold
Other,56.7,spike amplitude
Other,63.6,spike amplitude
Other,-79.0,spike max decay slope
Other,-97.0,spike max decay slope
Other,-86.0,spike max decay slope
Other,181.0,spike max rise slope
Other,171.0,spike max rise slope
Other,198.0,spike max rise slope
Other,1.12,spike half-width
Other,45.0,membrane time constant
Other,36.0,membrane time constant
Other,79.4,spike amplitude
Other,0.9,spike half-width
Other,0.61,spike half-width
Other,0.89,spike half-width
Other,0.72,spike half-width
Other,35.0,membrane time constant
Other,171.0,spike max rise slope
Other,189.0,spike max rise slope
Other,17.0,membrane time constant
Other,14.0,membrane time constant
Other,137.0,input resistance
Other,316.0,input resistance
Other,254.0,input resistance
Other,-18.0,AHP amplitude
Other,-20.6,AHP amplitude
Other,-20.7,AHP amplitude
Other,-20.6,AHP amplitude
Other,-5.4,AHP amplitude
Other,153.0,input resistance
Other,136.0,input resistance
Other,-34.8,spike threshold
Other,-59.0,resting membrane potential
Other,-57.2,resting membrane potential
Other,-54.1,resting membrane potential
Other,-53.7,resting membrane potential
Other,-52.9,resting membrane potential
Other,73.55,spike amplitude
Other,0.35,spike half-width
Other,311.81,input resistance
Other,-51.35,spike threshold
Other,15.85,firing frequency
Other,5.57,sag amplitude
Other,22.62,AHP amplitude
Other,264.34,input resistance
Other,2.44,sag amplitude
Other,73.42,spike amplitude
Other,-51.09,spike threshold
Other,22.72,AHP amplitude
Other,0.24,spike half-width
Other,19.23,firing frequency
Other,7.16,sag amplitude
Other,16.57,firing frequency
Other,20.92,AHP amplitude
Other,0.36,spike half-width
Other,68.1,spike amplitude
Other,-49.55,spike threshold
Other,413.13,input resistance
Other,6.12,sag amplitude
Other,19.86,firing frequency
Other,-51.58,spike threshold
Other,313.64,input resistance
Other,22.88,AHP amplitude
Other,0.32,spike half-width
Other,69.23,spike amplitude
Other,10.0,membrane time constant
Other,-49.3,spike threshold
Other,-16.4,spike amplitude
Other,-18.3,spike amplitude
Other,-46.9,spike threshold
Other,1.41,spike half-width
Other,114.0,cell capacitance
Other,58.5,spike amplitude
Other,69.7,spike amplitude
Other,41.1,membrane time constant
Other,77.2,membrane time constant
Other,2.08,spike half-width
Other,741.0,input resistance
Other,6.9,membrane time constant
Other,472.0,input resistance
Other,-66.7,resting membrane potential
Other,97.1,cell capacitance
