,Cell Type,Value,Measurement
10539,Trigeminal nucleus principal cell,83.5,spike amplitude
10540,Trigeminal nucleus motor neuron,-65.5,resting membrane potential
10541,Trigeminal nucleus motor neuron,79.1,spike amplitude
10542,Trigeminal nucleus principal cell,-61.6,resting membrane potential
10543,Trigeminal nucleus motor neuron,35.7,input resistance
10544,Trigeminal nucleus motor neuron,59.1,input resistance
10545,Trigeminal nucleus motor neuron,-4.0,AHP amplitude
10546,Trigeminal nucleus principal cell,-5.4,AHP amplitude
10547,Trigeminal nucleus motor neuron,-3.4,AHP amplitude
10548,Trigeminal nucleus principal cell,132.8,input resistance
10549,Trigeminal nucleus principal cell,115.0,cell capacitance
10550,Trigeminal nucleus motor neuron,185.6,cell capacitance
10551,Trigeminal nucleus motor neuron,142.2,cell capacitance
10552,Oculomotor nucleus motor neuron,88.0,spike amplitude
10553,Oculomotor nucleus motor neuron,-2.8,AHP amplitude
10554,Oculomotor nucleus motor neuron,-59.1,resting membrane potential
10555,Oculomotor nucleus motor neuron,-40.8,spike threshold
10556,Oculomotor nucleus motor neuron,400.0,rheobase
10557,Oculomotor nucleus motor neuron,161.1,cell capacitance
10558,Oculomotor nucleus motor neuron,114.2,cell capacitance
10559,Oculomotor nucleus motor neuron,-4.7,AHP amplitude
10560,Oculomotor nucleus motor neuron,-43.7,spike threshold
10561,Oculomotor nucleus motor neuron,-56.9,resting membrane potential
10562,Oculomotor nucleus motor neuron,0.7,spike half-width
10563,Oculomotor nucleus motor neuron,0.9,spike half-width
10564,Oculomotor nucleus motor neuron,37.2,input resistance
10565,Oculomotor nucleus motor neuron,97.3,input resistance
10566,Oculomotor nucleus motor neuron,162.0,rheobase
10567,Oculomotor nucleus motor neuron,93.7,spike amplitude
10568,Hippocampus CA1 basket cell,61.3,spike amplitude
10569,Dentate gyrus axo-axonic cell,65.3,spike amplitude
10570,Dentate gyrus axo-axonic cell,14.8,AHP amplitude
10571,Hippocampus CA1 basket cell,15.5,AHP amplitude
10572,Hippocampus CA1 basket cell,0.4,spike half-width
10573,Dentate gyrus axo-axonic cell,0.5,spike half-width
10574,Dentate gyrus axo-axonic cell,89.0,cell capacitance
10575,Hippocampus CA1 basket cell,119.0,cell capacitance
10576,Dentate gyrus axo-axonic cell,10.58,membrane time constant
10577,Dentate gyrus axo-axonic cell,111.41,input resistance
10578,Hippocampus CA1 basket cell,70.82,input resistance
10579,Hippocampus CA1 basket cell,9.17,membrane time constant
10580,Other,0.4,spike half-width
10581,Other,64.4,spike amplitude
10582,Other,97.0,cell capacitance
10583,Other,9.68,membrane time constant
10584,Other,17.9,AHP amplitude
10585,Other,117.26,input resistance
10586,Hippocampus CA1 pyramidal cell,53.85,input resistance
10587,Hippocampus CA1 pyramidal cell,53.81,input resistance
10588,Hippocampus CA1 pyramidal cell,86.28,spike amplitude
10589,Hippocampus CA1 pyramidal cell,-59.39,resting membrane potential
10590,Hippocampus CA1 pyramidal cell,-59.44,resting membrane potential
10591,Hippocampus CA1 pyramidal cell,87.94,spike amplitude
10592,Thalamus relay cell,2.23,membrane time constant
10593,Thalamus relay cell,407.89,input resistance
10594,Thalamus relay cell,129.5,cell capacitance
10595,Thalamus relay cell,-72.5,resting membrane potential
10596,Thalamus relay cell,2.53,membrane time constant
10597,Thalamus relay cell,377.48,input resistance
10598,Thalamus relay cell,143.38,cell capacitance
10599,Thalamus relay cell,-70.67,resting membrane potential
10600,Hippocampus CA3 pyramidal cell,-47.89,spike threshold
10601,Hippocampus CA3 pyramidal cell,86.11,spike amplitude from resting
10602,Hippocampus CA3 pyramidal cell,-2.32,sag amplitude
10603,Hippocampus CA3 pyramidal cell,79.99,input resistance
10604,Hippocampus CA3 pyramidal cell,-67.56,resting membrane potential
10605,Hippocampus CA3 pyramidal cell,85.01,input resistance
10606,Hippocampus CA3 pyramidal cell,-68.97,resting membrane potential
10607,Hippocampus CA3 pyramidal cell,-48.26,spike threshold
10608,Hippocampus CA3 pyramidal cell,83.74,spike amplitude from resting
10609,Hippocampus CA3 pyramidal cell,-2.28,sag amplitude
10610,Hippocampus CA3 pyramidal cell,1.16,spike half-width
10611,Hippocampus CA3 pyramidal cell,-50.94,fast AHP amplitude
10612,Hippocampus CA3 pyramidal cell,-53.76,fast AHP amplitude
10613,Hippocampus CA3 pyramidal cell,1.09,spike half-width
10614,Hippocampus CA1 neurogliaform cell,-72.0,spike max decay slope
10615,Hippocampus CA1 ivy neuron,-71.0,spike max decay slope
10616,Hippocampus CA1 neurogliaform cell,-80.0,spike max decay slope
10617,Hippocampus CA1 oriens lacunosum moleculare neuron,72.8,spike amplitude
10618,Hippocampus CA1 oriens lacunosum moleculare neuron,0.6,spike half-width
10619,Hippocampus CA1 oriens lacunosum moleculare neuron,18.9,AHP amplitude
10620,Hippocampus CA1 oriens lacunosum moleculare neuron,144.0,cell capacitance
10621,Hippocampus CA1 oriens lacunosum moleculare neuron,18.14,membrane time constant
10622,Hippocampus CA1 oriens lacunosum moleculare neuron,136.8,input resistance
10623,Neocortex basket cell,65.4,spike amplitude
10624,Neocortex basket cell,71.9,spike amplitude
10625,Neocortex basket cell,11.84,membrane time constant
10626,Neocortex basket cell,9.01,membrane time constant
10627,Neocortex basket cell,16.1,AHP amplitude
10628,Neocortex basket cell,16.6,AHP amplitude
10629,Neocortex basket cell,156.3,input resistance
10630,Neocortex basket cell,119.7,input resistance
10631,Neocortex basket cell,213.2,rheobase
10632,Neocortex basket cell,150.6,rheobase
10633,Neocortex basket cell,-59.7,resting membrane potential
10634,Neocortex basket cell,-61.9,resting membrane potential
10635,Neocortex basket cell,-44.9,spike threshold
10636,Neocortex basket cell,-40.1,spike threshold
10637,Neocortex basket cell,4.82,sag amplitude
10638,Neocortex basket cell,5.61,sag amplitude
10639,Neocortex basket cell,0.378,spike rise time
10640,Neocortex basket cell,0.363,spike rise time
10641,Neocortex basket cell,0.626,spike half-width
10642,Neocortex basket cell,0.629,spike half-width
10643,Neocortex basket cell,181.5,maximum firing rate
10644,Neocortex basket cell,192.5,maximum firing rate
10645,Neocortex basket cell,0.797,adaptation ratio
10646,Neocortex basket cell,0.921,adaptation ratio
10647,Hippocampus CA1 pyramidal cell,0.83,sag ratio
10648,Hippocampus CA1 pyramidal cell,-67.0,resting membrane potential
10649,Hippocampus CA1 pyramidal cell,54.0,input resistance
10650,Cochlear nucleus (ventral) bushy cell,0.9,spike half-width
10651,Cochlear nucleus (ventral) bushy cell,100.5,input resistance
10652,Cochlear nucleus (ventral) bushy cell,140.7,input resistance
10653,Cochlear nucleus (ventral) bushy cell,0.9,spike half-width
10654,Cochlear nucleus (ventral) bushy cell,1.01,membrane time constant
10655,Cochlear nucleus (ventral) bushy cell,39.6,spike amplitude
10656,Cochlear nucleus (ventral) bushy cell,1.1,spike half-width
10657,Cochlear nucleus (ventral) bushy cell,1.02,membrane time constant
10658,Cochlear nucleus (ventral) bushy cell,0.96,membrane time constant
10659,Cochlear nucleus (ventral) bushy cell,0.7,membrane time constant
10660,Cochlear nucleus (ventral) bushy cell,9.2,AHP amplitude
10661,Cochlear nucleus (ventral) bushy cell,0.8,spike half-width
10662,Cochlear nucleus (ventral) bushy cell,126.6,input resistance
10663,Cochlear nucleus (ventral) bushy cell,40.4,spike amplitude
10664,Cochlear nucleus (ventral) bushy cell,75.7,spike max decay slope
10665,Cochlear nucleus (ventral) bushy cell,70.6,spike max decay slope
10666,Cochlear nucleus (ventral) bushy cell,60.7,spike max decay slope
10667,Cochlear nucleus (ventral) bushy cell,59.7,spike max decay slope
10668,Cochlear nucleus (ventral) bushy cell,73.9,spike max decay slope
10669,Cochlear nucleus (ventral) bushy cell,36.8,spike amplitude
10670,Cochlear nucleus (ventral) bushy cell,1.05,membrane time constant
10671,Cochlear nucleus (ventral) bushy cell,41.0,spike amplitude
10672,Cochlear nucleus (ventral) bushy cell,-60.5,resting membrane potential
10673,Cochlear nucleus (ventral) bushy cell,121.0,input resistance
10674,Cochlear nucleus (ventral) bushy cell,-62.0,resting membrane potential
10675,Cochlear nucleus (ventral) bushy cell,40.1,spike amplitude
10676,Cochlear nucleus (ventral) bushy cell,-60.4,resting membrane potential
10677,Cochlear nucleus (ventral) bushy cell,-61.5,resting membrane potential
10678,Cochlear nucleus (ventral) bushy cell,-60.9,resting membrane potential
10679,Cochlear nucleus (ventral) bushy cell,77.0,spike max rise slope
10680,Cochlear nucleus (ventral) bushy cell,83.1,spike max rise slope
10681,Cochlear nucleus (ventral) bushy cell,8.7,AHP amplitude
10682,Cochlear nucleus (ventral) bushy cell,10.0,AHP amplitude
10683,Cochlear nucleus (ventral) bushy cell,7.6,AHP amplitude
10684,Cochlear nucleus (ventral) bushy cell,7.5,AHP amplitude
10685,Cochlear nucleus (ventral) bushy cell,87.7,spike max rise slope
10686,Cochlear nucleus (ventral) bushy cell,88.3,spike max rise slope
10687,Cochlear nucleus (ventral) bushy cell,74.9,spike max rise slope
10688,Cochlear nucleus (ventral) bushy cell,0.8,spike half-width
10689,Cochlear nucleus (ventral) bushy cell,77.6,input resistance
10690,Hippocampus CA1 pyramidal cell,0.78,spike half-width
10691,Hippocampus CA1 pyramidal cell,0.85,spike half-width
10692,Hippocampus CA1 pyramidal cell,86.7,spike amplitude
10693,Hippocampus CA1 pyramidal cell,83.1,spike amplitude
10694,Hippocampus CA1 pyramidal cell,-52.1,spike threshold
10695,Hippocampus CA1 pyramidal cell,-49.6,spike threshold
10696,Hippocampus CA1 pyramidal cell,-66.3,resting membrane potential
10697,Hippocampus CA1 pyramidal cell,-66.6,resting membrane potential
10698,Hippocampus CA1 pyramidal cell,56.2,input resistance
10699,Hippocampus CA1 pyramidal cell,67.6,input resistance
10700,Cerebellum Purkinje cell,364.0,spike max rise slope
10701,Cerebellum Purkinje cell,0.234,spike half-width
10702,Cerebellum Purkinje cell,-318.0,spike max decay slope
10703,Cerebellum Purkinje cell,0.17,spike rise time
10704,Cerebellum Purkinje cell,0.158,spike decay time
10705,Hippocampus CA1 basket cell,11.5,spike decay time
10706,Hippocampus CA1 basket cell,3.1,spike decay time
10707,Hippocampus CA1 basket cell,4.3,spike decay time
10708,Hippocampus CA1 basket cell,9.6,spike decay time
10709,Other,10.8,spike decay time
10710,Neocortex Martinotti cell,28.0,rheobase
10711,Neocortex Martinotti cell,0.79,spike half-width
10712,Neocortex Martinotti cell,27.4,membrane time constant
10713,Neocortex Martinotti cell,361.0,input resistance
10714,Neocortex Martinotti cell,13.6,FI slope
10715,Neocortex Martinotti cell,-66.3,resting membrane potential
10716,Neocortex basket cell,0.38,spike half-width
10717,Neocortex basket cell,176.0,rheobase
10718,Neocortex basket cell,7.9,membrane time constant
10719,Neocortex basket cell,-72.2,resting membrane potential
10720,Neocortex basket cell,178.0,input resistance
10721,Neocortex basket cell,40.9,FI slope
10722,Neocortex interneuron deep,83.0,input resistance
10723,Neocortex basket cell,135.0,input resistance
10724,Neocortex interneuron deep,7.4,membrane time constant
10725,Neocortex basket cell,8.0,membrane time constant
10726,Neocortex interneuron deep,11.6,FI slope
10727,Neocortex basket cell,46.6,FI slope
10728,Neocortex basket cell,0.2,spike half-width
10729,Neocortex interneuron deep,0.37,spike half-width
10730,Neocortex basket cell,163.0,rheobase
10731,Neocortex interneuron deep,234.0,rheobase
10732,Neocortex basket cell,-68.0,resting membrane potential
10733,Neocortex interneuron deep,-65.0,resting membrane potential
10734,Neocortex interneuron deep,0.15,adaptation ratio
10735,Neocortex basket cell,0.7,adaptation ratio
10736,Neocortex Martinotti cell,0.43,adaptation ratio
10737,Neocortex basket cell,0.96,adaptation ratio
10738,Other,48.6,input resistance
10739,Other,-78.8,resting membrane potential
10740,Other,0.51,firing frequency
10741,Other,-75.1,resting membrane potential
10742,Other,-62.8,resting membrane potential
10743,Other,44.5,input resistance
10744,Other,37.3,input resistance
10745,Other,6.5,membrane time constant
10746,Other,2.61,firing frequency
10747,Other,1.58,firing frequency
10748,Other,6.7,membrane time constant
10749,Other,6.5,membrane time constant
10750,Medial vestibular nucleus neuron,27.7,AHP amplitude
10751,Other,28.6,AHP amplitude
10752,Medial vestibular nucleus neuron,10.3,spontaneous firing rate
10753,Other,5.7,spontaneous firing rate
10754,Other,0.67,spike half-width
10755,Medial vestibular nucleus neuron,0.67,spike half-width
10756,Other,82.2,spike amplitude
10757,Medial vestibular nucleus neuron,87.9,spike amplitude
10758,Other,642.5,input resistance
10759,Medial vestibular nucleus neuron,554.3,input resistance
10760,Other,43.2,cell capacitance
10761,Medial vestibular nucleus neuron,77.2,cell capacitance
10762,Medial vestibular nucleus neuron,26.9,AHP amplitude
10763,Other,28.0,AHP amplitude
10764,Medial vestibular nucleus neuron,12.1,spontaneous firing rate
10765,Other,6.7,spontaneous firing rate
10766,Other,0.67,spike half-width
10767,Medial vestibular nucleus neuron,0.54,spike half-width
10768,Other,88.7,spike amplitude
10769,Medial vestibular nucleus neuron,92.8,spike amplitude
10770,Other,421.4,input resistance
10771,Medial vestibular nucleus neuron,411.0,input resistance
10772,Other,102.4,cell capacitance
10773,Medial vestibular nucleus neuron,135.6,cell capacitance
10774,Neocortex pyramidal cell layer 5-6,72.0,cell capacitance
10775,Neocortex pyramidal cell layer 5-6,-83.0,resting membrane potential
10776,Neocortex pyramidal cell layer 5-6,-52.0,spike threshold
10777,Neocortex pyramidal cell layer 5-6,313.0,input resistance
10778,Neocortex pyramidal cell layer 5-6,79.0,spike amplitude
10779,Other,-10.1,fast AHP amplitude
10780,Other,69.8,spike amplitude
10781,Other,-16.6,fast AHP amplitude
10782,Other,318.5,spike max rise slope
10783,Other,133.8,spike max rise slope
10784,Other,-51.1,spike threshold
10785,Other,-53.7,spike threshold
10786,Other,0.31,spike half-width
10787,Other,0.96,spike half-width
10788,Other,18.5,membrane time constant
10789,Other,12.7,membrane time constant
10790,Other,62.3,spike amplitude
10791,Other,279.9,input resistance
10792,Other,-79.7,resting membrane potential
10793,Other,194.7,input resistance
10794,Other,-83.2,resting membrane potential
10795,Cochlear nucleus (ventral) bushy cell,313.1,rheobase
10796,Cochlear nucleus (ventral) bushy cell,270.6,rheobase
10797,Cochlear nucleus (ventral) bushy cell,189.8,rheobase
10798,Cochlear nucleus (ventral) bushy cell,263.4,rheobase
10799,Cochlear nucleus (ventral) bushy cell,302.0,rheobase
10800,Neocortex pyramidal cell layer 2-3,76.0,spike amplitude
10801,Neocortex pyramidal cell layer 2-3,2.9,spike width
10802,Neocortex pyramidal cell layer 2-3,1.4,spike half-width
10803,Neocortex pyramidal cell layer 2-3,-38.0,spike threshold
10804,Neocortex pyramidal cell layer 2-3,44.0,spike max decay slope
10805,Neocortex pyramidal cell layer 2-3,-72.0,resting membrane potential
10806,Neocortex pyramidal cell layer 2-3,254.0,input resistance
10807,Neocortex pyramidal cell layer 2-3,149.0,spike max rise slope
10808,Hippocampus CA3 pyramidal cell,21.33,access resistance
10809,Hippocampus CA3 pyramidal cell,21.56,access resistance
10810,Other,3.6,adaptation ratio (last/first ISI)
10811,Other,4.2,adaptation ratio (last/first ISI)
10812,Other,4.1,adaptation ratio (last/first ISI)
10813,Hippocampus CA3 basket cell,3.7,adaptation ratio (last/first ISI)
10814,Neocortex uncharacterized cell,7.1,fast AHP duration
10815,Neocortex uncharacterized cell,12.2,membrane time constant
10816,Neocortex uncharacterized cell,127.7,input resistance
10817,Neocortex uncharacterized cell,55.8,AHP duration
10818,Neocortex uncharacterized cell,13.5,AHP amplitude
10819,Neocortex uncharacterized cell,0.8,spike half-width
10820,Neocortex uncharacterized cell,67.4,spike amplitude
10821,Neocortex basket cell,2.870978,spike width
10822,Neocortex basket cell,115.032797,maximum firing rate
10823,Neocortex basket cell,1.059653,adaptation ratio
10824,Neocortex basket cell,0.228823,rheobase
10825,Neocortex basket cell,70.6,input resistance
10826,Neocortex basket cell,-28.310618,spike threshold
10827,Neocortex basket cell,1.077007,adaptation ratio
10828,Neocortex basket cell,1.226245,rheobase
10829,Neocortex basket cell,170.181093,maximum firing rate
10830,Neocortex basket cell,2.371679,spike width
10831,Neocortex basket cell,2.8,membrane time constant
10832,Neocortex basket cell,-29.225882,spike threshold
10833,Neocortex basket cell,126.7,input resistance
10834,Neocortex basket cell,90.318709,maximum firing rate
10835,Neocortex basket cell,3.261818,spike width
10836,Neocortex basket cell,0.112101,rheobase
10837,Neocortex basket cell,0.890456,adaptation ratio
10838,Neocortex basket cell,-32.312302,spike threshold
10839,Neocortex basket cell,155.0,input resistance
10840,Neocortex basket cell,35.4,membrane time constant
10841,Neocortex basket cell,-35.530297,spike threshold
10842,Neocortex basket cell,537.4,input resistance
10843,Neocortex basket cell,66.039394,maximum firing rate
10844,Neocortex basket cell,3.557203,spike width
10845,Neocortex basket cell,0.0214,rheobase
10846,Neocortex basket cell,0.721258,adaptation ratio
10847,Neocortex pyramidal cell layer 5-6,3.0,adaptation ratio (other)
10848,Neocortex pyramidal cell layer 5-6,103.0,rheobase
10849,Neocortex pyramidal cell layer 5-6,116.0,input resistance
10850,Neocortex pyramidal cell layer 5-6,-66.0,resting membrane potential
10851,Neocortex pyramidal cell layer 5-6,17.0,adaptation ratio (other)
10852,Neocortex pyramidal cell layer 5-6,131.0,rheobase
10853,Neocortex pyramidal cell layer 5-6,109.0,input resistance
10854,Neocortex pyramidal cell layer 5-6,-68.0,resting membrane potential
10855,Neocortex pyramidal cell layer 5-6,1.0,adaptation ratio (other)
10856,Neocortex pyramidal cell layer 5-6,158.0,rheobase
10857,Neocortex pyramidal cell layer 5-6,53.0,input resistance
10858,Neocortex pyramidal cell layer 5-6,86.0,input resistance
10859,Neocortex pyramidal cell layer 5-6,-68.0,resting membrane potential
10860,Neocortex pyramidal cell layer 5-6,-64.0,resting membrane potential
10861,Neocortex pyramidal cell layer 5-6,24.0,adaptation ratio (other)
10862,Neocortex pyramidal cell layer 5-6,158.0,rheobase
10863,Neocortex pyramidal cell layer 5-6,0.026,adaptation ratio (other)
10864,Neocortex pyramidal cell layer 5-6,0.036,adaptation ratio (other)
10865,Neocortex pyramidal cell layer 5-6,-35.25,spike decay time
10866,Neocortex pyramidal cell layer 5-6,26.3,cell capacitance
10867,Neocortex pyramidal cell layer 5-6,162.4,spike rise time
10868,Neocortex pyramidal cell layer 5-6,123.54,spike rise time
10869,Neocortex pyramidal cell layer 5-6,159.4,cell capacitance
10870,Neocortex pyramidal cell layer 5-6,19.77,cell capacitance
10871,Neocortex pyramidal cell layer 5-6,-29.92,spike decay time
10872,Neocortex pyramidal cell layer 5-6,-32.14,spike decay time
10873,Neocortex pyramidal cell layer 5-6,0.03,adaptation ratio (other)
10874,Neocortex pyramidal cell layer 5-6,73.22,spike amplitude
10875,Neocortex pyramidal cell layer 5-6,74.52,spike amplitude
10876,Neocortex pyramidal cell layer 5-6,68.32,spike amplitude
10877,Neocortex pyramidal cell layer 5-6,2.8,spike half-width
10878,Neocortex pyramidal cell layer 5-6,2.35,spike half-width
10879,Neocortex pyramidal cell layer 5-6,2.48,spike half-width
10880,Neocortex pyramidal cell layer 5-6,11.6,sag amplitude
10881,Neocortex pyramidal cell layer 5-6,10.99,sag amplitude
10882,Neocortex pyramidal cell layer 5-6,2.46,sag amplitude
10883,Neocortex pyramidal cell layer 5-6,119.5,spike rise time
10884,Neocortex pyramidal cell layer 5-6,-60.68,resting membrane potential
10885,Neocortex pyramidal cell layer 5-6,-65.67,resting membrane potential
10886,Neocortex pyramidal cell layer 5-6,-57.29,resting membrane potential
10887,Neocortex pyramidal cell layer 5-6,20.93,sag ratio
10888,Neocortex pyramidal cell layer 5-6,22.19,sag ratio
10889,Neocortex pyramidal cell layer 5-6,146.365,input resistance
10890,Neocortex pyramidal cell layer 5-6,120.908,input resistance
10891,Neocortex pyramidal cell layer 5-6,6.57,sag ratio
10892,Neocortex pyramidal cell layer 5-6,263.372,input resistance
10893,Olfactory bulb (main) Blanes cell,-65.9,resting membrane potential
10894,Olfactory bulb (main) granule cell,-71.2,resting membrane potential
10895,Olfactory bulb (main) Blanes cell,49.5,cell capacitance
10896,Olfactory bulb (main) granule cell,46.1,cell capacitance
10897,Olfactory bulb (main) Blanes cell,273.4,input resistance
10898,Olfactory bulb (main) granule cell,603.2,input resistance
10899,Olfactory bulb (main) Blanes cell,13.0,membrane time constant
10900,Olfactory bulb (main) granule cell,27.3,membrane time constant
10901,Olfactory bulb (main) granule cell,167.8,spike max rise slope
10902,Olfactory bulb (main) granule cell,1.0,spike half-width
10903,Olfactory bulb (main) Blanes cell,0.73,spike half-width
10904,Olfactory bulb (main) granule cell,-60.3,spike max decay slope
10905,Olfactory bulb (main) Blanes cell,-102.5,spike max decay slope
10906,Olfactory bulb (main) Blanes cell,272.3,spike max rise slope
10907,Olfactory bulb (main) Blanes cell,72.7,spike amplitude
10908,Olfactory bulb (main) granule cell,55.2,spike amplitude
10909,Olfactory bulb (main) Blanes cell,-46.0,spike threshold
10910,Olfactory bulb (main) granule cell,-28.9,spike threshold
10911,Neostriatum medium spiny neuron,6.6,AHP amplitude
10912,Neostriatum medium spiny neuron,-53.0,spike threshold
10913,Neostriatum medium spiny neuron,1.16,spike half-width
10914,Neostriatum medium spiny neuron,87.0,spike amplitude
10915,Neostriatum medium spiny neuron,-82.2,resting membrane potential
10916,Neostriatum medium spiny neuron,1.5,membrane time constant
10917,Neostriatum medium spiny neuron,181.2,input resistance
10918,Neostriatum medium spiny neuron,72.4,cell capacitance
10919,Neostriatum medium spiny neuron,8.2,AHP amplitude
10920,Neostriatum medium spiny neuron,-48.4,spike threshold
10921,Neostriatum medium spiny neuron,186.7,input resistance
10922,Neostriatum medium spiny neuron,70.1,cell capacitance
10923,Neostriatum medium spiny neuron,1.13,spike half-width
10924,Neostriatum medium spiny neuron,86.0,spike amplitude
10925,Neostriatum medium spiny neuron,-82.1,resting membrane potential
10926,Neostriatum medium spiny neuron,1.6,membrane time constant
10927,Neostriatum medium spiny neuron,2.3,membrane time constant
10928,Neostriatum medium spiny neuron,93.1,input resistance
10929,Neostriatum medium spiny neuron,-43.0,spike threshold
10930,Neostriatum medium spiny neuron,-85.4,resting membrane potential
10931,Neostriatum medium spiny neuron,130.0,rheobase
10932,Neostriatum medium spiny neuron,-87.2,resting membrane potential
10933,Neostriatum medium spiny neuron,270.0,rheobase
10934,Neostriatum medium spiny neuron,2.9,membrane time constant
10935,Neostriatum medium spiny neuron,53.1,input resistance
10936,Neostriatum medium spiny neuron,-42.5,spike threshold
10937,Hippocampus CA1 pyramidal cell,-80.0,resting membrane potential
10938,Hippocampus CA1 pyramidal cell,26.7,sag ratio
10939,Hippocampus CA1 pyramidal cell,127.0,input resistance
10940,Hippocampus CA1 pyramidal cell,20.2,membrane time constant
10941,Hippocampus CA1 pyramidal cell,452.0,spike max rise slope
10942,Hippocampus CA1 pyramidal cell,443.0,spike max rise slope
10943,Hippocampus CA1 pyramidal cell,-56.8,spike threshold
10944,Hippocampus CA1 pyramidal cell,-57.1,spike threshold
10945,Hippocampus CA1 pyramidal cell,31.7,spike peak
10946,Hippocampus CA1 pyramidal cell,31.1,spike peak
10947,Hippocampus CA1 pyramidal cell,0.88,spike width
10948,Hippocampus CA1 pyramidal cell,0.86,spike width
10949,Cerebellum Golgi cell,6.5,sag amplitude
10950,Cerebellum Lugaro cell,6.7,sag amplitude
10951,Cerebellum Lugaro cell,-58.1,resting membrane potential
10952,Cerebellum Golgi cell,-61.7,resting membrane potential
10953,Cerebellum Golgi cell,-69.5,AHP voltage
10954,Other,0.8,spike half-width
10955,Cerebellum Lugaro cell,0.82,spike half-width
10956,Cerebellum Golgi cell,0.75,spike half-width
10957,Cerebellum Lugaro cell,-68.3,AHP voltage
10958,Other,292.0,input resistance
10959,Cerebellum Lugaro cell,355.0,input resistance
10960,Cerebellum Golgi cell,273.0,input resistance
10961,Other,10.8,cell capacitance
10962,Cerebellum Lugaro cell,14.7,cell capacitance
10963,Other,-62.6,AHP voltage
10964,Cerebellum Golgi cell,20.2,cell capacitance
10965,Other,12.8,sag amplitude
10966,Other,-56.7,resting membrane potential
10967,Other,-34.2,spike threshold
10968,Other,-38.5,spike threshold
10969,Other,-35.2,spike threshold
10970,Other,52.4,spike amplitude
10971,Other,45.9,spike amplitude
10972,Other,-20.4,AHP amplitude
10973,Other,-0.2,AHP amplitude
10974,Other,-12.0,AHP amplitude
10975,Other,1.04,spike half-width
10976,Other,18.1,membrane time constant
10977,Other,10.5,membrane time constant
10978,Other,48.7,spike amplitude
10979,Other,0.99,spike half-width
10980,Other,0.97,spike half-width
10981,Other,18.8,membrane time constant
10982,Other,285.1,input resistance
10983,Other,354.7,input resistance
10984,Other,172.2,input resistance
10985,Other,1.02,adaptation ratio (last/first ISI)
10986,Other,1.76,adaptation ratio (last/first ISI)
10987,Other,-63.87,resting membrane potential
10988,Other,-69.55,resting membrane potential
10989,Other,-69.59,resting membrane potential
10990,Hippocampus CA3 oriens interneuron,19.0,membrane time constant
10991,Hippocampus CA3 oriens interneuron,72.0,input resistance
10992,Hippocampus CA3 oriens interneuron,-69.0,resting membrane potential
10993,Hippocampus CA3 oriens interneuron,0.8,spontaneous firing rate
10994,Hippocampus CA1 pyramidal cell,11.8,AHP amplitude
10995,Other,55.7,input resistance
10996,Other,-45.8,spike threshold
10997,Other,-70.0,resting membrane potential
10998,Other,20.7,membrane time constant
10999,Other,25.0,sag ratio
11000,Other,1.64,spike width
11001,Other,78.0,spike amplitude
11002,Other,-74.7,resting membrane potential
11003,Other,50.0,input resistance
11004,Other,23.1,membrane time constant
11005,Other,1.76,spike width
11006,Other,-45.9,spike threshold
11007,Other,78.2,spike amplitude
11008,Other,80.1,spike amplitude
11009,Other,1.85,spike width
11010,Other,-44.6,spike threshold
11011,Other,41.6,input resistance
11012,Other,18.6,membrane time constant
11013,Other,-75.1,resting membrane potential
11014,Other,11.5,sag ratio
11015,Other,23.2,membrane time constant
11016,Other,-65.9,resting membrane potential
11017,Other,77.2,spike amplitude
11018,Other,1.28,spike width
11019,Other,-45.4,spike threshold
11020,Other,57.3,input resistance
11021,Neocortex pyramidal cell layer 5-6,320.2,input resistance
11022,Neocortex pyramidal cell layer 5-6,179.3,input resistance
11023,Neocortex pyramidal cell layer 5-6,159.5,input resistance
11024,Neocortex pyramidal cell layer 5-6,90.3,spike amplitude
11025,Neocortex pyramidal cell layer 5-6,90.3,spike amplitude
11026,Neocortex pyramidal cell layer 5-6,-80.8,resting membrane potential
11027,Neocortex pyramidal cell layer 5-6,-83.5,resting membrane potential
11028,Neocortex pyramidal cell layer 5-6,90.7,spike amplitude
11029,Neocortex pyramidal cell layer 5-6,-81.6,resting membrane potential
11030,Hippocampus CA1 pyramidal cell,-53.2,spike threshold
11031,Hippocampus CA1 pyramidal cell,75.3,spike amplitude
11032,Hippocampus CA1 pyramidal cell,-66.1,resting membrane potential
11033,Hippocampus CA1 pyramidal cell,33.2,input resistance
11034,Hippocampus CA1 pyramidal cell,6.85,AHP amplitude
11035,Hippocampus CA1 pyramidal cell,-46.1,spike threshold
11036,Hippocampus CA1 pyramidal cell,0.76,spike half-width
11037,Hippocampus CA1 pyramidal cell,96.78,spike amplitude
11038,Hippocampus CA1 pyramidal cell,48.0,maximum firing rate
11039,Hippocampus CA1 pyramidal cell,30.5,firing frequency
11040,Hippocampus CA1 pyramidal cell,1.14,spike half-width
11041,Hippocampus CA1 pyramidal cell,322.0,spike max rise slope
11042,Hippocampus CA1 pyramidal cell,32.0,spike peak
11043,Hippocampus CA1 pyramidal cell,-49.0,fast AHP voltage
11044,Hippocampus CA1 pyramidal cell,28.0,membrane time constant
11045,Hippocampus CA1 pyramidal cell,-75.0,resting membrane potential
11046,Hippocampus CA1 pyramidal cell,-56.0,spike threshold
11047,Hippocampus CA1 pyramidal cell,77.0,spike max decay slope
